step,elapsed_backend,layer_time,npu_calls,estimated_trace_time,npu_avg_pct,step_duration,python_overhead
0,1.087803,0.910048,37,1.7486670000000037,0.0,1.087803,0.1777550000000001
1,1.860281,0.716207,74,2.5211450000000037,23.5,0.772478,0.05627099999999996
2,2.5675,0.667566,111,3.2283640000000036,27.0,0.7072189999999998,0.03965299999999983
3,3.290719,0.67262,148,3.951583000000004,28.0,0.7232190000000003,0.05059900000000028
4,4.030302,0.679464,185,4.6911660000000035,27.5,0.7395829999999997,0.0601189999999997
5,4.767247,0.67879,222,5.428111000000004,27.0,0.7369450000000004,0.0581550000000004
6,5.495987,0.682602,259,6.156851000000004,27.0,0.7287400000000002,0.04613800000000012
7,6.237759,0.683219,296,6.898623000000003,27.0,0.7417719999999992,0.05855299999999919
8,6.972871,0.681584,333,7.633735000000003,27.5,0.735112,0.05352800000000002
9,7.701708,0.682559,370,8.362572000000004,27.0,0.7288370000000004,0.046278000000000374
10,8.427429,0.678582,407,9.088293000000004,28.0,0.7257210000000001,0.04713900000000004
11,9.16179,0.682526,444,9.822654000000004,27.5,0.7343609999999998,0.05183499999999985
12,9.893166,0.681398,481,10.554030000000004,27.0,0.7313760000000009,0.049978000000000966
13,10.631579,0.684122,518,11.292443000000004,28.0,0.7384129999999995,0.054290999999999534
14,11.356726,0.677798,555,12.017590000000004,28.0,0.7251469999999998,0.04734899999999975
15,12.095385,0.679337,592,12.756249000000004,27.5,0.7386590000000002,0.05932200000000021
16,12.826821,0.681683,629,13.487685000000004,27.0,0.7314360000000004,0.04975300000000038
17,13.566567,0.679235,666,14.227431000000003,28.0,0.7397459999999985,0.06051099999999843
18,14.306968,0.680803,703,14.967832000000003,28.0,0.7404010000000003,0.05959800000000026
19,15.036967,0.677539,740,15.697831000000004,27.0,0.7299990000000012,0.05246000000000117
20,15.770351,0.679194,777,16.431215,28.0,0.7333839999999991,0.05418999999999918
21,16.498104,0.677675,814,17.158968000000005,28.0,0.7277530000000016,0.05007800000000162
22,17.236034,0.685262,851,17.896898000000004,28.0,0.7379299999999986,0.052667999999998605
23,17.973622,0.679618,888,18.634486000000003,27.0,0.7375879999999988,0.057969999999998745
24,18.700614,0.680929,925,19.361478000000005,28.0,0.7269920000000027,0.04606300000000274
25,19.438856,0.68024,962,20.099720000000005,28.0,0.7382419999999996,0.058001999999999665
26,20.186688,0.684152,999,20.847552000000004,27.0,0.7478319999999989,0.06367999999999896
27,20.926048,0.684204,1036,21.586912000000005,27.0,0.7393600000000013,0.055156000000001315
28,21.658058,0.677028,1073,22.318922000000004,27.0,0.7320099999999989,0.054981999999998976
29,22.386684,0.677965,1110,23.047548000000003,27.0,0.7286259999999984,0.0506609999999984
30,23.1195,0.676532,1147,23.780364000000002,28.0,0.7328159999999997,0.05628399999999967
31,23.842494,0.676183,1184,24.503358000000002,28.0,0.7229939999999999,0.046810999999999936
32,24.565528,0.675815,1221,25.226392000000004,28.0,0.723034000000002,0.0472190000000019
33,25.302126,0.677859,1258,25.962990000000005,28.0,0.7365980000000008,0.05873900000000076
34,26.023732,0.674918,1295,26.684596000000003,28.0,0.7216059999999977,0.04668799999999773
35,26.751395,0.679133,1332,27.412259000000002,28.0,0.7276629999999997,0.04852999999999974
36,27.474451,0.675182,1369,28.135315000000002,28.0,0.7230559999999997,0.04787399999999975
37,28.194996,0.674077,1406,28.855860000000003,29.0,0.7205450000000013,0.046468000000001286
38,28.928781,0.676769,1443,29.589645000000004,28.0,0.733785000000001,0.057016000000001066
39,29.653412,0.677963,1480,30.314276000000003,27.0,0.7246309999999987,0.04666799999999871
40,30.391785,0.677488,1517,31.052649000000002,28.0,0.7383729999999993,0.0608849999999993
41,31.113141,0.675494,1554,31.774005000000002,28.0,0.7213560000000001,0.04586200000000007
42,31.844853,0.676916,1591,32.505717000000004,28.0,0.7317120000000017,0.05479600000000173
43,32.58143,0.678741,1628,33.242294,27.0,0.7365769999999969,0.05783599999999689
44,33.306991,0.676456,1665,33.967855,28.0,0.725560999999999,0.049104999999999066
45,34.039466,0.673925,1702,34.70033,27.5,0.7324750000000009,0.05855000000000088
46,34.771488,0.675023,1739,35.432352,27.0,0.7320220000000006,0.05699900000000058
47,35.490451,0.67169,1776,36.151315000000004,28.0,0.7189630000000022,0.04727300000000223
48,36.312386,0.7407,1813,36.97325,26.5,0.8219349999999963,0.08123499999999628
49,37.02414,0.669352,1850,37.685004000000006,25.0,0.7117540000000062,0.04240200000000627
50,37.731732,0.667238,1887,38.392596000000005,28.0,0.7075919999999982,0.040353999999998225
51,38.439392,0.665005,1924,39.100256,29.0,0.7076599999999971,0.04265499999999711
52,39.147208,0.665034,1961,39.808072,29.0,0.7078160000000011,0.0427820000000011
53,39.86268,0.667056,1998,40.523544,28.0,0.7154719999999983,0.04841599999999835
54,40.576513,0.667012,2035,41.237377,29.0,0.713833000000001,0.046821000000001
55,41.290066,0.666969,2072,41.95093000000001,29.0,0.7135530000000045,0.04658400000000451
56,42.009944,0.673501,2109,42.670808,28.0,0.7198779999999942,0.04637699999999423
57,42.735136,0.676649,2146,43.396,28.0,0.7251919999999998,0.04854299999999989
58,43.471834,0.677177,2183,44.132698000000005,28.0,0.7366980000000041,0.05952100000000404
59,44.196198,0.675466,2220,44.857062000000006,27.0,0.7243640000000013,0.04889800000000133
60,44.925031,0.677821,2257,45.585895,28.0,0.7288329999999945,0.051011999999994506
61,45.665487,0.67822,2294,46.326351,27.0,0.7404560000000018,0.062236000000001734
62,46.397534,0.67535,2331,47.058398000000004,27.0,0.7320470000000014,0.05669700000000144
63,47.120606,0.675592,2368,47.781470000000006,27.0,0.7230720000000019,0.047480000000001965
64,47.857699,0.678969,2405,48.518563,27.5,0.7370929999999944,0.0581239999999944
65,48.591833,0.67615,2442,49.252697000000005,28.0,0.7341340000000045,0.057984000000004476
66,49.312413,0.672545,2479,49.973277,28.0,0.7205799999999982,0.048034999999998274
67,50.051238,0.67908,2516,50.712102,28.0,0.7388249999999985,0.059744999999998494
68,50.786091,0.681567,2553,51.446955,27.5,0.7348530000000011,0.053286000000001055
69,51.519653,0.67892,2590,52.180517,27.0,0.7335619999999992,0.05464199999999919
70,52.24693,0.681743,2627,52.907794,27.0,0.7272770000000008,0.04553400000000085
71,52.984751,0.68185,2664,53.64561500000001,27.5,0.7378210000000038,0.05597100000000388
72,53.711189,0.679953,2701,54.372053,28.0,0.7264379999999946,0.04648499999999456
73,54.441122,0.684342,2738,55.101986000000004,27.0,0.7299330000000026,0.0455910000000026
74,55.182182,0.680117,2775,55.843046,28.0,0.7410599999999974,0.060942999999997416
75,55.933015,0.692031,2812,56.593879,27.5,0.7508330000000001,0.05880200000000013
76,56.663743,0.680468,2849,57.324607,27.0,0.7307279999999992,0.050259999999999194
77,57.380047,0.665486,2886,58.040911,29.0,0.7163040000000009,0.05081800000000092
78,58.085126,0.664235,2923,58.745990000000006,29.0,0.7050790000000049,0.040844000000004876
79,58.818495,0.668336,2960,59.479359,28.0,0.7333689999999962,0.06503299999999612
80,59.533935,0.667831,2997,60.194799,27.0,0.715440000000001,0.04760900000000101
81,60.253239,0.670395,3034,60.914103000000004,28.0,0.719304000000001,0.04890900000000109
82,60.994252,0.680206,3071,61.65511600000001,28.0,0.7410130000000024,0.06080700000000239
83,61.722959,0.676392,3108,62.38382300000001,27.0,0.728707,0.052315
84,62.457853,0.677394,3145,63.118717000000004,28.0,0.734893999999997,0.057499999999997
85,63.179227,0.673482,3182,63.840091,28.0,0.7213739999999973,0.04789199999999727
86,63.902614,0.677553,3219,64.563478,27.0,0.7233870000000024,0.045834000000002484
87,64.662031,0.676422,3256,65.322895,27.5,0.7594169999999991,0.08299499999999915
88,65.397836,0.687394,3293,66.0587,27.0,0.7358049999999992,0.048410999999999205
89,66.11438,0.66789,3330,66.775244,27.0,0.716543999999999,0.048653999999998976
90,66.820077,0.665697,3367,67.480941,28.0,0.7056970000000007,0.0400000000000007
